EX,VBN,RB,JJS,NNS,VBP,MD,CD,JJR,NNP,PRP,RP,SYM,NN,'',RBS,POS,FW,),VBG,IN,UH,:,NNPS,``,PRP$,VBD,WRB,CC,VB,$,PDT,RBR,WP$,WDT,WP,VBZ,(,JJ,TO,DT,#,length
0.002884907379289402,0.008199210446401458,0.05208017005769815,0.0,0.027482538718493776,0.03887033100516247,0.013817187974491345,0.03310051624658366,0.005769814758578804,0.11296689948375342,0.06164591557849985,0.005314303067112056,0.0,0.1626176738536289,0.0001518372304889159,0.0,0.0033404190707561495,0.0001518372304889159,0.0,0.010021257212268448,0.10689341026419678,0.0,0.0031885818402672336,0.0,0.0,0.00258123291831157,0.01290616459155785,0.007440024293956878,0.03173398117218342,0.04676586699058609,0.003795930762222897,0.00258123291831157,0.0009110233829334953,0.0001518372304889159,0.006529000911023383,0.006377163680534467,0.05177649559672032,0.0,0.06832675372001215,0.01579107197084725,0.09383540844215002,0.0,6586.0
0.0,0.015,0.04,0.0,0.1,0.085,0.035,0.0,0.0,0.055,0.05,0.0,0.0,0.12,0.0,0.005,0.005,0.0,0.0,0.01,0.085,0.0,0.0,0.0,0.0,0.005,0.0,0.005,0.035,0.055,0.0,0.0,0.0,0.0,0.015,0.015,0.04,0.0,0.13,0.025,0.07,0.0,200.0
0.0010134279199391944,0.01444134785913352,0.04471750696731695,0.0,0.03737015454775779,0.06067899670635926,0.013301241449201926,0.01621484671902711,0.0015201418799087915,0.07904737775525715,0.0711933113757284,0.0029136052698251836,0.0,0.1626551811502407,0.0001266784899923993,0.0001266784899923993,0.0015201418799087915,0.001393463389916392,0.0,0.027235875348365846,0.09247529769445148,0.0,0.0006333924499619965,0.0,0.0,0.005447175069673169,0.010007600709399544,0.00899417278946035,0.027235875348365846,0.061312389156321256,0.00038003546997719787,0.0020268558398783888,0.0006333924499619965,0.0006333924499619965,0.008614137319483153,0.005573853559665568,0.04535089941727895,0.0,0.06549277932607044,0.03356979984798581,0.09614897390423106,0.0,7894.0
0.0033282360349015023,0.011693802284789062,0.058109202122874876,0.0015291895295493389,0.025366555725465503,0.05028334982459297,0.014662229018620132,0.014482324368084915,0.002068903481154988,0.10722317171898893,0.06944319510659351,0.0042277592875775835,0.0,0.1610146622290186,0.00044976162633804086,0.0002698569758028245,0.0012593325537465143,0.0008095709274084735,0.0,0.015561752271296213,0.08554466132949537,0.0008095709274084735,0.026715840604479627,0.00044976162633804086,0.0,0.004947377889718449,0.01079427903211298,0.006476567419267788,0.022128272015831608,0.04812449401817037,0.001079427903211298,0.0030583790590986777,0.0008995232526760817,0.0,0.005846901142394531,0.008545470900422776,0.05298191958262121,0.0,0.08491499505262211,0.014482324368084915,0.0804173787892417,0.0,11117.0
0.001178234790059983,0.006748071979434447,0.05098543273350471,0.002249357326478149,0.030955441302485006,0.05934018851756641,0.011675235646958012,0.03384747215081405,0.007712082262210797,0.10164952870608397,0.07090831191088261,0.004070265638389032,0.0,0.1476006855184233,0.0004284490145672665,0.0,0.0037489288774635817,0.0004284490145672665,0.0,0.013389031705227077,0.08119108826049701,0.0,0.026456726649528705,0.0,0.0,0.004070265638389032,0.007712082262210797,0.006105398457583547,0.02131533847472151,0.05644815766923736,0.0007497857754927164,0.002249357326478149,0.001392459297343616,0.0,0.004070265638389032,0.0074978577549271634,0.04295201371036847,0.0,0.08129820051413882,0.02634961439588689,0.08322622107969152,0.0,9336.0
0.003300848789688777,0.00927381326626847,0.0680603583778686,0.0006287331027978623,0.024363407733417164,0.04511160012574662,0.011631562401760453,0.02703552342030808,0.0020433825840930524,0.10515561144294247,0.0671172587236718,0.005029864822382898,0.0,0.1466519962276014,0.0006287331027978623,0.0,0.001886199308393587,0.00047154982709839675,0.0,0.01493241119144923,0.07953473750392959,0.00015718327569946557,0.002672115686890915,0.0,0.0,0.003772398616787174,0.013046211883055643,0.004872681546683433,0.027507073247406477,0.047940899088337,0.001886199308393587,0.002514932411191449,0.0022005658597925182,0.00015718327569946557,0.007387613957874882,0.008330713612071676,0.06916064130776485,0.0,0.0822068531908205,0.024834957560515562,0.08849418421879912,0.0,6362.0
0.0029780897681344395,0.011274196979366092,0.06445437141033823,0.0017017655817911082,0.030844501169963838,0.05998723675813657,0.01574133163156775,0.01446500744522442,0.005956179536268879,0.10316953839608593,0.07764305466921932,0.002765369070410551,0.0,0.14145926398638586,0.00042544139544777704,0.0008508827908955541,0.0019144862795149968,0.0012763241863433313,0.0,0.014890448840672197,0.0908317379281004,0.00042544139544777704,0.002765369070410551,0.0,0.0,0.006168900233992768,0.007657945118059987,0.00574345883854499,0.026802807913209957,0.06849606466709211,0.00021272069772388852,0.003190810465858328,0.0008508827908955541,0.0,0.005105296745373325,0.004041693256753882,0.04977664326738992,0.0,0.06849606466709211,0.019783024888321635,0.08785364815996596,0.0,4701.0
0.001736111111111111,0.02546296296296296,0.0625,0.0005787037037037037,0.03125,0.036458333333333336,0.009259259259259259,0.028356481481481483,0.0,0.10185185185185185,0.06365740740740741,0.007523148148148148,0.0,0.14525462962962962,0.0005787037037037037,0.0,0.004050925925925926,0.0,0.0,0.009259259259259259,0.0798611111111111,0.0,0.0,0.0,0.0,0.005208333333333333,0.020833333333333332,0.004050925925925926,0.041087962962962965,0.048032407407407406,0.0005787037037037037,0.0,0.0,0.0,0.004050925925925926,0.001736111111111111,0.052083333333333336,0.0,0.08506944444444445,0.026041666666666668,0.10358796296296297,0.0,1728.0
0.002173913043478261,0.005072463768115942,0.05217391304347826,0.0,0.02753623188405797,0.03985507246376811,0.015942028985507246,0.03188405797101449,0.0007246376811594203,0.08623188405797101,0.08260869565217391,0.005072463768115942,0.0,0.15579710144927536,0.0,0.0,0.0,0.0,0.0,0.009420289855072464,0.06884057971014493,0.0007246376811594203,0.0007246376811594203,0.0,0.0,0.011594202898550725,0.02753623188405797,0.005797101449275362,0.02753623188405797,0.07753623188405798,0.0007246376811594203,0.002173913043478261,0.0007246376811594203,0.0,0.006521739130434782,0.005072463768115942,0.043478260869565216,0.0,0.08333333333333333,0.025362318840579712,0.09782608695652174,0.0,1380.0
0.002554640931024695,0.004825432869713313,0.055350553505535055,0.0005676979846721544,0.01532784558614817,0.04144195288106727,0.013908600624467783,0.004825432869713313,0.0008515469770082316,0.08856088560885608,0.077206925915413,0.0022707919386886176,0.0,0.17172864036332672,0.0002838489923360772,0.0,0.003973885892705081,0.0008515469770082316,0.0,0.021004825432869714,0.10672722111836502,0.0,0.0,0.0,0.0,0.002554640931024695,0.008515469770082317,0.0036900369003690036,0.015611694578484247,0.06528526823729776,0.0,0.001419244961680386,0.0017030939540164632,0.0,0.004825432869713313,0.006244677831393698,0.06273062730627306,0.0,0.07521998296906046,0.0386034629577065,0.10133409026397956,0.0,3523.0
